股票代號,股票名稱,收盤價,月平均價
"03417P","欣興元富23售07","0.85","0.91"
"03418P","國巨麥證23售04","1.31","1.43"
"03419P","富邦金麥證25售01","0.74","0.73"
"03420P","中信金麥證23售02","0.95","0.97"
"03421P","SGBR2X凱基28售05","","1.55"
"03422P","中鴻凱基23售03","1.16","1.16"
"03423P","台積電凱基2C售02","4.96","4.78"
"03425P","長榮凱基2C售02","3.53","3.63"
"03427P","友達凱基26售01","","1.78"
"03428P","萬海凱基25售05","1.40","1.47"
"03430P","晶技凱基23售01","","1.20"
"03432P","晶心科凱基23售05","0.95","1.06"
"03433P","鴻海元大26售03","0.71","0.69"
"03434P","長榮元大23售38","2.12","2.31"
"03437P","慧洋凱基25售02","1.87","2.07"
"03438P","聯詠凱基24售05","1.73","1.81"
"03439P","華航元大23售13","2.67","2.67"
"03440P","世芯元大23售16","1.70","1.83"
"03441P","三福化元大28售01","0.72","0.72"
"03442P","致伸元大23售07","1.33","1.36"
"03443P","啟碁元大23售09","0.92","0.91"
"03444P","緯穎凱基25售01","2.15","2.63"
"03445P","緯穎元大23售06","0.95","1.18"
"03446P","同欣電中信23售01","0.38","0.38"
"03447P","長榮國泰25售04","1.91","2.02"
"03448P","長榮國泰25售05","1.61","1.68"
"03450P","台積電第一28售06","1.39","1.34"
"03451P","金像電中信24售01","","1.04"
"03452P","臺股指中信26售09","0.50","0.51"
"03453P","長榮永豐23售06","1.20","1.26"
"03456P","長榮國票25售01","","2.81"
"03457P","華航國票23售04","2.33","2.40"
"03459P","晶華國票23售01","","1.78"
"03460P","開發金國票23售01","","1.14"
"03462P","奇鋐國票25售01","2.02","2.10"
"03464P","健策國票23售08","","1.39"
"03465P","上緯控國票23售02","1.08","1.05"
"03466P","AES國票23售04","1.31","1.56"
"03468P","華新群益23售09","","2.12"
"03471P","微星群益23售02","0.86","0.89"
"03472P","長榮群益23售14","2.36","2.40"
"03473P","臺股指群益23售23","1.67","1.65"
"03475P","電子類群益23售05","3.23","3.29"
"03477P","聯電凱基26售03","","2.44"
"03478P","技嘉凱基23售02","","0.77"
"03479P","長榮凱基26售01","","2.95"
"03480P","富邦金凱基25售01","1.46","1.45"
"03481P","嘉晶凱基23售04","","2.23"
"03483P","聯詠凱基23售08","0.81","0.84"
"03484P","玉晶光凱基23售05","","2.41"
"03485P","電子類凱基2A售01","4.13","3.97"
"03486P","金融類凱基2A售01","3.81","3.72"
"03487P","長榮統一25售11","1.00","1.06"
"03488P","長榮統一25售12","1.01","1.06"
"03489P","聯詠統一23售02","","0.51"
"03493P","臺股指元富23售10","","2.69"
"03495P","台灣50元大25售16","2.15","2.02"
"03497P","台灣50元大25售18","2.02","1.97"
"03498P","台灣50元大25售19","2.17","2.13"
"03499P","台灣50元大25售20","","2.15"
"03500P","中砂元大23售07","1.54","1.55"
"03502P","鴻海元大23售20","0.61","0.61"
"03503P","鴻海元大23售21","1.23","1.22"
"03504P","微星元大23售05","","0.90"
"03505P","長榮元大23售42","1.84","1.88"
"03506P","長榮元大23售43","1.32","1.41"
"03507P","創意元大23售18","1.11","1.42"
"03508P","創意元大23售19","1.55","1.76"
"03509P","敦泰元大23售05","0.70","0.69"
"03510P","世芯元大23售17","0.75","0.82"
"03511P","世芯元大23售18","1.36","1.51"
"03513P","世芯元大23售19","1.61","1.86"
"03514P","嘉聯益元大23售06","0.34","0.48"
"03515P","啟碁元大23售10","0.69","0.68"
"03516P","長榮麥證23售12","0.64","0.68"
"03517P","富邦金麥證23售01","2.62","2.65"
"03518P","臺股指麥證2A售02","","4.25"
"03519P","聯電富邦23售03","","0.48"
